hood_T,other_T,color,shade ,finish,make,model,cloudiness,license,state,comments,"Group, Name",
92.4,90.8,Dark Grey,Yes,,Lexus,RX450h,No,CLDRAZ,CA,,3rd Floor (Dan),
98.8,91.9,Dark Grey,No,,Hyndai,Accent,No,ANR7972,AZ,,3rd Floor (Dan),
100.7,93.5,Purple,No,,Mini Copper,S,No,IAH9146,AZ,,3rd Floor (Dan),
119.6,113,White,No,,Truck,Truck,No,G164DM,AZ,,3rd Floor (Dan),
143.2,146,Green,No,,Subaru,Forester,No,BRS0180,Az,,3rd Floor (Dan),
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
91.3,90.9,white,yes,glossy,Kia,Soul,no,T5973,AZ,,Miros,
91,91,D. gray,yes,glossy,Honda,Civic,no,515SYG,NM,,Miros,
96.8,91.7,Gray,yes,glossy,Ford,Mustang,no,APA1166,AZ,,Miros,
97,91.5,Red,yes,glossy,Toyota,Sienna,no,BHK7956,AZ,,Miros,
102.7,92.4,Red,yes,glossy,Hyundai,Elantra,no,JRP9650,TX,,Miros,
97.7,92.5,Blue,yes,glossy,Chevy,Trailblazer,no,JPR861,AZ,,Miros,
102.5,94.8,Blue,yes,glossy,Toyota,Corolla,no,BYK3199,AZ,,Miros,
91.8,91.9,Blue,yes,glossy,Subaru,Impreza,no,WLG469,IN,,Miros,
92.3,92,Mango,yes,glossy,Mini,Cooper,no,CFF9233,AZ,,Miros,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
103,97,ivory,y,glossy,mini,cooper,no,CDA0674,az,,"Erica, Jess, Ryan",
108,105,white,partial,glossy,subaru,impreza,no,BHX3591,az,,"Erica, Jess, Ryan",
96,91,gold,y,glossy,toyota,camry,no,bpw2431,az,,"Erica, Jess, Ryan",
103,106,silver,partial,glossy,toyota,prius,no,BIG8018,az,,"Erica, Jess, Ryan",
96,91,green ,y,glossy,sab,forester,no, GGJ2343,az,,"Erica, Jess, Ryan",
114,110,gray,partial,glossy,Honda,Civic,no,2035BN,az,,"Erica, Jess, Ryan",
97,91,electric blue,y,glossy,jeep,compass,no,CHR9755,az,,"Erica, Jess, Ryan",
110,114,tan,no,glossy,toyota,prius,no,B277698,az,,"Erica, Jess, Ryan",
108,93,forest green,y,glossy,ford ,fiso,no ,T3250,az,by window,"Erica, Jess, Ryan",
149,132,tan,no,glossy,honda,accord,no,B2N8701,az,,"Erica, Jess, Ryan",
129,131,silver,no,glossy,hyundai,tucson,n,CBM8767,az,,"Erica, Jess, Ryan",
150,154,steel blue,no,glossy,sub ,frester,no,BVR6643,az,,"Erica, Jess, Ryan",
120,112,WHITE,NO,glossy,CHEV,SLIV,NO,G551EW,az,,"Erica, Jess, Ryan",
138,136,silver,no,glossy,volvo,atlas,no,Ca54048,az,,"Erica, Jess, Ryan",
140,130,perwi,no,glossy,cheV,spanc,no,cbm8343,az,,"Erica, Jess, Ryan",
123,123,white,no,glossy,honda,civic,no,062MDX,az,,"Erica, Jess, Ryan",
154,147,red,no,glossy,nissan,sendra,no,BNX2892,az,,"Erica, Jess, Ryan",
172,117,black,no,glossy,GMC,Terrain,no,CEY8761,az,,"Erica, Jess, Ryan",
140,130,HAWAII BLUE,NO,glossy,HONDA,ACCORD,NO,896MBH,az,,"Erica, Jess, Ryan",
143,128,ice,no,glossy,Honda,Civic,no,AXL0728,az,,"Erica, Jess, Ryan",
166,150,CHOCO,NO,glossy,HYNA,SONOTA,NO,CG223376,az,,"Erica, Jess, Ryan",
119,127,white,no,glossy,GMC,pontiac,no,755PFM,az,,"Erica, Jess, Ryan",
157,160,BLUE,NO,glossy,TESIA,MODDELS,NO,AF6B46,az,,"Erica, Jess, Ryan",
130,136,tan,no,glossy,infinity,FX35,no,BMT3434,az,,"Erica, Jess, Ryan",
175,182,black,no,glossy,GMC,Canyon,no,BXL3459,az,,"Erica, Jess, Ryan",
169,149,BLUE,NO,glossy,VOLVO,S60,NO,BKK9498,az,,"Erica, Jess, Ryan",
130,137,silver,no,glossy,ford ,F150,no,BTHEMTN,az,,"Erica, Jess, Ryan",
145,128,RED,NO,GLOSSY,MAZDA,3,NO,CHJ3739,az,,"Erica, Jess, Ryan",
175,155,black,no,glossy,ford ,Flex,no,CGG3630,az,,"Erica, Jess, Ryan",
